5.4.1.2.2, EAP-AKA' related procedures
5.4.1.2.3, EAP-TLS related procedures
5.4.1.2.4.3, EAP message reliable transport procedure accepted by the UE
5.4.1.2.4.4, Abnormal cases on the network side
5.4.1.2.4.5, Abnormal cases in the UE
5.4.1.2.5, EAP result message transport procedure
5.4.1.3.2, Authentication initiation by the network
5.4.1.3.3, Authentication response by the UE
5.4.1.3.4, Authentication completion by the network
5.4.1.3.5, Authentication not accepted by the network
5.4.1.3.6, Authentication not accepted by the UE
5.4.1.3.7, Abnormal cases
5.4.2.2, NAS security mode control initiation by the network
5.4.2.3, NAS security mode command accepted by the UE
5.4.2.4, NAS security mode control completion by the network
5.4.2.5, NAS security mode command not accepted by the UE
5.4.2.6, Abnormal cases in the UE
5.4.2.7, Abnormal cases on the network side
5.4.3.2, Identification initiation by the network
5.4.3.3, Identification response by the UE
5.4.3.4, Identification completion by the network
5.4.3.5, Abnormal cases in the UE
5.4.3.6, Abnormal cases on the network side
5.4.4.2, Generic UE configuration update procedure initiated by the network
5.4.4.3, Generic UE configuration update accepted by the UE
5.4.4.4, Generic UE configuration update completion by the network
5.4.4.5, Abnormal cases in the UE
5.4.4.6, Abnormal cases on the network side
5.4.5.2.2, UE-initiated NAS transport procedure initiation
5.4.5.2.3, UE-initiated NAS transport of messages accepted by the network
5.4.5.2.4, UE-initiated NAS transport of messages not accepted by the network
5.4.5.2.5, Abnormal cases on the network side
5.4.5.2.6, Abnormal cases in the UE
5.4.5.3.2, Network-initiated NAS transport procedure initiation
5.4.5.3.3, Network-initiated NAS transport of messages accepted by the UE
5.4.6.2, 5GMM status received in the UE
5.4.6.3, 5GMM status received in the network
5.4.7.2.2, Network slice-specific EAP message reliable transport procedure accepted by the UE
5.4.7.2.3, Abnormal cases on the network side
5.4.7.2.4, Abnormal cases in the UE
5.4.7.3.1, Network slice-specific EAP result message transport procedure initiation
